index;disc_number;duration_ms;id;name;track_number;uri;album;duration_s;acousticness;danceability;energy;key;tempo;time_signature;valence;mode
16;2;176533;7JQnPduaj2nPQvAlQUjqJP;Riendose de mi;7;spotify:track:7JQnPduaj2nPQvAlQUjqJP;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);176.53333;0.683;0.707;0.432;11.0;142.131;4.0;0.348;1.0
17;2;203733;6UUTupboUDGpljQjJhdd2L;Veneno;8;spotify:track:6UUTupboUDGpljQjJhdd2L;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);203.73333;0.816;0.535;0.344;5.0;152.381;4.0;0.275;1.0
18;2;239026;5BMVxBrKnM0kJ7PsQ7zj0d;Era de amar;9;spotify:track:5BMVxBrKnM0kJ7PsQ7zj0d;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);239.02667;0.608;0.697;0.632;2.0;74.359;4.0;0.792;1.0
19;2;353946;0CbNE0yI2EZv9uIwXnP4p5;El valle de las leñas amarillas;10;spotify:track:0CbNE0yI2EZv9uIwXnP4p5;Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar);353.94667;0.855;0.794;0.4;2.0;108.622;3.0;0.437;1.0
0;1;246410;2ECKXkpPAxky87ohawpaeD;12 segundos de oscuridad;1;spotify:track:2ECKXkpPAxky87ohawpaeD;12 segundos de oscuridad;246.82639;0.119;0.607;0.504;0.0;126.051;4.0;0.0396;0.0
1;1;188081;0KF9s5HhXY9om1zpyo6Uox;La vida es mas compleja de lo que parece;2;spotify:track:0KF9s5HhXY9om1zpyo6Uox;12 segundos de oscuridad;188.10639;0.359;0.718;0.616;7.0;120.016;4.0;0.661;1.0
2;1;203406;5OwDrwMpNw4sjdDovyhVET;Transoceanica;3;spotify:track:5OwDrwMpNw4sjdDovyhVET;12 segundos de oscuridad;203.99973;0.157;0.664;0.697;4.0;127.997;4.0;0.802;0.0
3;1;229831;4hjHskQbN3e7GOBQMWis41;Disneylandia;4;spotify:track:4hjHskQbN3e7GOBQMWis41;12 segundos de oscuridad;230.03973;0.299;0.751;0.525;2.0;79.98;4.0;0.543;0.0
4;1;234660;4GhYYqfbMC3VX8OvP8aCoy;El otro engranaje;5;spotify:track:4GhYYqfbMC3VX8OvP8aCoy;12 segundos de oscuridad;234.66639;0.199;0.742;0.614;9.0;102.028;4.0;0.672;1.0
5;1;224722;0hf3E2TAapWRy5PhAjp0l8;High and dry;6;spotify:track:0hf3E2TAapWRy5PhAjp0l8;12 segundos de oscuridad;224.94639;0.931;0.598;0.245;2.0;154.137;4.0;0.575;1.0
6;1;182833;6qXJn6TJ6bTajeRdGApJ47;La infidelidad de la era informatica;7;spotify:track:6qXJn6TJ6bTajeRdGApJ47;12 segundos de oscuridad;183.15973;0.486;0.801;0.423;9.0;139.987;4.0;0.468;0.0
7;1;179443;5rQXXfPkFpwhFVC1fDV9gw;Hermana duda;8;spotify:track:5rQXXfPkFpwhFVC1fDV9gw;12 segundos de oscuridad;179.69683;0.126;0.305;0.627;7.0;63.705;4.0;0.411;1.0
8;1;164629;5GCB9mqJzKN4kDKvmqQ03X;Inoportuna;9;spotify:track:5GCB9mqJzKN4kDKvmqQ03X;12 segundos de oscuridad;164.94639;0.651;0.749;0.423;7.0;78.005;4.0;0.507;1.0
9;1;211208;0dGoksxAOi9wPMSBKnEflt;Quien quiera que seas;10;spotify:track:0dGoksxAOi9wPMSBKnEflt;12 segundos de oscuridad;211.30639;0.0957;0.711;0.487;4.0;92.004;4.0;0.532;0.0
10;1;238329;58W8oOa1q7TQUpGmAYazFZ;Soledad;11;spotify:track:58W8oOa1q7TQUpGmAYazFZ;12 segundos de oscuridad;238.43973;0.847;0.46;0.281;4.0;156.079;3.0;0.341;1.0
11;1;268840;0PZ5XHuhfB0LQEQbqEaFnF;Sanar;12;spotify:track:0PZ5XHuhfB0LQEQbqEaFnF;12 segundos de oscuridad;268.91973;0.703;0.654;0.582;7.0;110.028;4.0;0.223;1.0
12;1;219289;2FqOmSYbvuqLIM9Q85cuWi;El fuego y el combustible;13;spotify:track:2FqOmSYbvuqLIM9Q85cuWi;12 segundos de oscuridad;220.29306;0.939;0.694;0.257;0.0;129.011;4.0;0.583;1.0
0;1;242534;5kzfj7G1O9PGsLr3kAVOkC;Bailar en la cueva;1;spotify:track:5kzfj7G1O9PGsLr3kAVOkC;Bailar en la cueva;242.53401;0.596;0.689;0.88;7.0;127.952;4.0;0.622;1.0
1;1;236270;5OUl9lxjsfgOmdt9bVjQqh;Bolivia;2;spotify:track:5OUl9lxjsfgOmdt9bVjQqh;Bailar en la cueva;236.27098;0.115;0.561;0.673;6.0;163.87;4.0;0.552;0.0
2;1;264347;5IzANmozBOBgDCZo2tLP1Q;Data data;3;spotify:track:5IzANmozBOBgDCZo2tLP1Q;Bailar en la cueva;264.34757;0.349;0.727;0.885;5.0;125.982;4.0;0.789;0.0
3;1;220974;36MoFIDN0D0Mvbo9kkjyhs;La luna de Rasquí;4;spotify:track:36MoFIDN0D0Mvbo9kkjyhs;Bailar en la cueva;220.97465;0.193;0.764;0.665;9.0;105.985;4.0;0.727;1.0
4;1;222170;25wkmsggPrmVeDHv0QBMgW;Universos paralelos;5;spotify:track:25wkmsggPrmVeDHv0QBMgW;Bailar en la cueva;222.17034;0.554;0.738;0.831;7.0;107.977;4.0;0.613;1.0
5;1;252659;5K8phEqnfmK3PlXs7uw5bb;Todo cae;6;spotify:track:5K8phEqnfmK3PlXs7uw5bb;Bailar en la cueva;252.65968;0.779;0.568;0.307;7.0;79.272;3.0;0.35;1.0
6;1;245499;0wvT8fVDzcl0TcO0GpGEBc;Esfera;7;spotify:track:0wvT8fVDzcl0TcO0GpGEBc;Bailar en la cueva;245.49927;0.348;0.68;0.742;6.0;107.964;4.0;0.609;0.0
7;1;210831;1fOMSpZatKCyYwgi9rPEwF;La plegaria del paparazzo;8;spotify:track:1fOMSpZatKCyYwgi9rPEwF;Bailar en la cueva;210.83129;0.0492;0.665;0.731;6.0;192.012;4.0;0.732;1.0
8;1;214060;0Qpxyz6c81VsbvoSaCB4L4;La noche no es una ciencia;9;spotify:track:0Qpxyz6c81VsbvoSaCB4L4;Bailar en la cueva;214.06091;0.788;0.649;0.516;0.0;112.019;4.0;0.498;1.0
9;1;194090;2eovziuPLoSQT3lDXUavrz;El triángulo de las Bermudas;10;spotify:track:2eovziuPLoSQT3lDXUavrz;Bailar en la cueva;194.09079;0.35;0.854;0.615;11.0;93.029;4.0;0.611;1.0
10;1;400362;5mvGbNjKaqB63vFdN2MZ7m;Organdí;11;spotify:track:5mvGbNjKaqB63vFdN2MZ7m;Bailar en la cueva;400.36204;0.759;0.531;0.249;2.0;104.039;4.0;0.106;1.0
0;1;219493;75lisbgzhfJdIt5YdPuAWP;La Edad Del Cielo;1;spotify:track:75lisbgzhfJdIt5YdPuAWP;Frontera;219.49333;0.588;0.668;0.261;7.0;147.446;4.0;0.282;1.0
1;1;304440;1z8eYOOd1fjxbubkDd8Z9a;Memoria Del Cuero;2;spotify:track:1z8eYOOd1fjxbubkDd8Z9a;Frontera;304.44;0.374;0.674;0.869;2.0;117.999;4.0;0.813;1.0
2;1;206493;0WASvp4NGCxg9ClqLt8GeD;Frontera;3;spotify:track:0WASvp4NGCxg9ClqLt8GeD;Frontera;206.49333;0.589;0.783;0.461;7.0;120.034;4.0;0.854;1.0
